"","SP500","FTSE100"
"567",463.86,816.49
"568",465.11,808.74
"569",469.99,818.01
"570",461.29,819.21
"571",457.16,815.39
"572",464.32,830.17
"573",468.59,876.44
"574",470.68,882.66
"575",477.99,885.81
"576",482.5,899.4
"577",482.25,898.87
"578",482.25,898.87
"579",475.47,898.87
"580",475.6,894.48
"581",475.08,888.32
"582",477.16,889.1
"583",474.2,900.42
"584",473.62,907.46
"585",474.47,904.96
"586",477.84,909.67
"587",481.25,905.89
"588",478.45,908.05
"589",483.77,908.05
"590",483.76,908.86
"591",483.75,921.31
"592",483.05,922.25
"593",483.3,930.49
"594",486.35,936.18
"595",483.83,930.91
"596",484.05,930.47
"597",480.24,921.45
"598",476.94,917.27
"599",480.29,924.45
"600",484.45,923.43
"601",483.34,927.37
"602",480.1,923.88
"603",481.86,928.41
"604",481.86,928.41
"605",478.95,924.77
"606",479.85,922.69
"607",485.21,921.33
"608",483.6,925.78
"609",486.04,924.94
"610",481.77,927.81
"611",483.06,919.15
"612",481.56,919.56
"613",481.82,915.04
"614",481.74,907.39
"615",478.1,903.82
"616",474.82,904.04
"617",476.93,896.52
"618",477.77,892.91
"619",478.41,890.97
"620",476.16,898.64
"621",469.09,892.54
"622",467.59,880.21
"623",470.76,887.87
"624",470.45,876
"625",471.2,879.7
"626",471.21,870.12
"627",470.39,878.34
"628",470.9,870.41
"629",477.34,864.61
"630",476.41,866.53
"631",481.95,857.08
"632",480.66,851.13
"633",480.66,858.44
"634",483.32,848.56
"635",477.87,857.07
"636",479.18,849.78
"637",483.83,858.46
"638",484.29,856.22
"639",484.59,852.81
"640",487.88,854.72
"641",487.2,855.55
"642",487.76,854.65
"643",485.53,836.84
"644",483.39,827.23
"645",483.41,831.34
"646",480.1,821.66
"647",481.45,825.68
"648",480.89,818.1
"649",480.92,810.35
"650",487.98,819.07
"651",493.52,836.24
"652",495.51,832.19
"653",495.87,828.1
"654",497.05,835.12
"655",496.39,831
"656",493.86,825.77
"657",492.16,820.57
"658",490.37,811.14
"659",491.22,805.89
"660",490.63,800.19
"661",489.35,798.03
"662",489.31,803.09
"663",491.96,816.62
"664",493.02,823.3
"665",493.83,815.87
"666",490.14,818.86
"667",490.26,817.61
"668",486.27,819.67
"669",481.49,801.35
"670",482.61,790.94
"671",484.94,792.35
"672",484.98,801.54
"673",486.52,801.78
"674",485.72,801.78
"675",488.23,796.94
"676",490.51,802.06
"677",490.54,825.91
"678",489.53,819.12
"679",489.53,823.51
"680",486.46,811.43
"681",488.91,807.8
"682",493.14,812.32
"683",492.71,823.01
"684",499.61,840.66
"685",493.2,822.53
"686",493.38,825.42
"687",493.41,862.01
"688",496.93,890.78
"689",496.1,892.2
"690",490.24,901.43
"691",490.6,899.43
"692",492.04,913.5
"693",487.22,906.57
"694",489.98,892.24
"695",490.23,894.11
"696",491.43,889.82
"697",489.66,896.56
"698",482.82,888.75
"699",479.65,853.6
"700",479.21,868.07
"701",475.76,878.29
"702",479.92,885.76
"703",473.94,886.64
"704",479.57,892.21
